site_id,site_name,latitude,longitude,Area
W0017,GF,22.3804,39.413,Jeddah
W0010,GF,21.9921,39.5551,Jeddah
W2392,GF,21.327531,39.968736,Makkah
W2984,IBS,21.42637,39.36168,Jeddah
W3153,RT,21.658588,39.637892,Makkah
W2520,RT,21.25802,40.42784,Taif
W6586,GF,21.429865,39.282432,Jeddah
W2502,RT,21.274508,40.395096,Taif
W5210,GF,21.351416,39.972553,Hajj
W4535,RT,21.595173,39.171652,Jeddah
W4619,RT,21.589655,39.136903,Jeddah
W5630,GF,21.593312,39.117717,Jeddah
W5762,RT,21.579215,39.173931,Jeddah
W5737,RT,21.59587,39.1831,Jeddah
W3165,GF,21.445835,39.415292,Jeddah
W3051,GF,21.448293,39.559917,Jeddah
W3555,GF,21.731945,39.209743,Jeddah
W5809,RT,21.590041,39.223,Jeddah
